1	HACETTEPE ÜNİVERSİTESİ	170.77	188.58	195.51	182.68	73.87	811.40
2	ORTA DOĞU TEKNİK ÜNİVERSİTESİ	191.31	188.58	188.00	186.00	52.35	806.24
3	İSTANBUL ÜNİVERSİTESİ	152.05	163.75	162.86	199.00	62.75	740.41
4	İSTANBUL TEKNİK ÜNİVERSİTESİ	165.01	161.52	168.53	179.46	62.43	736.95
5	EGE ÜNİVERSİTESİ	159.99	169.81	169.12	165.05	71.80	735.77
6	ANKARA ÜNİVERSİTESİ	147.34	156.32	162.52	194.04	65.02	725.25
7	BOĞAZİÇİ ÜNİVERSİTESİ	166.67	153.04	171.51	160.83	66.40	718.45
8	İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ	169.74	182.94	169.23	135.36	48.33	705.61
9	GEBZE YÜKSEK TEKNOLOJİ ENSTİTÜSÜ	155.39	161.72	154.45	153.94	75.16	700.66
10	GAZİ ÜNİVERSİTESİ	147.47	151.80	155.01	184.93	57.54	696.74
11	SABANCI ÜNİVERSİTESİ	155.90	167.82	157.40	140.12	73.72	694.96
12	İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ	153.88	165.28	152.48	141.04	80.65	693.33
13	KOÇ ÜNİVERSİTESİ	157.69	166.31	157.85	118.65	64.60	665.10
14	SELÇUK ÜNİVERSİTESİ	147.65	146.88	162.05	144.93	43.57	645.09
15	GÜLHANE ASKERİ TIP AKADEMİSİ	122.28	139.32	172.59	110.88	100.00	645.07
16	GAZİANTEP ÜNİVERSİTESİ	165.82	169.10	164.73	104.17	40.33	644.15
17	ÇUKUROVA ÜNİVERSİTESİ	142.99	158.43	149.60	145.70	44.91	641.62
18	ERCİYES ÜNİVERSİTESİ	150.80	152.91	154.03	126.42	49.10	633.26
19	ATATÜRK ÜNİVERSİTESİ	130.37	129.33	141.94	176.66	49.97	628.27
20	BAŞKENT ÜNİVERSİTESİ	135.41	138.62	157.56	84.44	95.94	611.98
